"subjID","Condition","PerNeg","Load","Dom"
71034,"lo.neu.sur_rate",0.857142857142857,0,0
71035,"lo.neu.sur_rate",0.857142857142857,0,0
71036,"lo.neu.sur_rate",0.428571428571429,0,0
71037,"lo.neu.sur_rate",0.285714285714286,0,0
71038,"lo.neu.sur_rate",0.428571428571429,0,0
71039,"lo.neu.sur_rate",0.125,0,0
71040,"lo.neu.sur_rate",0.25,0,0
71041,"lo.neu.sur_rate",0.75,0,0
71042,"lo.neu.sur_rate",0.75,0,0
71043,"lo.neu.sur_rate",0.714285714285714,0,0
71044,"lo.neu.sur_rate",0.75,0,0
71046,"lo.neu.sur_rate",0.75,0,0
71047,"lo.neu.sur_rate",0.875,0,0
71049,"lo.neu.sur_rate",1,0,0
71050,"lo.neu.sur_rate",0.875,0,0
71052,"lo.neu.sur_rate",0.875,0,0
71053,"lo.neu.sur_rate",0.714285714285714,0,0
71054,"lo.neu.sur_rate",0.5,0,0
71055,"lo.neu.sur_rate",0.857142857142857,0,0
71056,"lo.neu.sur_rate",0.428571428571429,0,0
71058,"lo.neu.sur_rate",0.428571428571429,0,0
71059,"lo.neu.sur_rate",0.857142857142857,0,0
71060,"lo.neu.sur_rate",1,0,0
71062,"lo.neu.sur_rate",0.625,0,0
71001,"hi.neu.sur_rate",0.666666666666667,1,0
71002,"hi.neu.sur_rate",0.555555555555556,1,0
71003,"hi.neu.sur_rate",0.25,1,0
71005,"hi.neu.sur_rate",0.555555555555556,1,0
71007,"hi.neu.sur_rate",0.666666666666667,1,0
71009,"hi.neu.sur_rate",0.571428571428571,1,0
71010,"hi.neu.sur_rate",1,1,0
71011,"hi.neu.sur_rate",0.875,1,0
71012,"hi.neu.sur_rate",0.625,1,0
71013,"hi.neu.sur_rate",0.2,1,0
71014,"hi.neu.sur_rate",0.9,1,0
71015,"hi.neu.sur_rate",0.75,1,0
71016,"hi.neu.sur_rate",0.9,1,0
71018,"hi.neu.sur_rate",0.666666666666667,1,0
71019,"hi.neu.sur_rate",1,1,0
71020,"hi.neu.sur_rate",0,1,0
71021,"hi.neu.sur_rate",0.9,1,0
71023,"hi.neu.sur_rate",0.8,1,0
71024,"hi.neu.sur_rate",0.9,1,0
71025,"hi.neu.sur_rate",0.571428571428571,1,0
71026,"hi.neu.sur_rate",0.777777777777778,1,0
71028,"hi.neu.sur_rate",0.375,1,0
71029,"hi.neu.sur_rate",0.8,1,0
71030,"hi.neu.sur_rate",0.1,1,0
71032,"hi.neu.sur_rate",0.8,1,0
71033,"hi.neu.sur_rate",1,1,0
71034,"hi.neu.sur_rate",0.888888888888889,1,0
71035,"hi.neu.sur_rate",1,1,0
71036,"hi.neu.sur_rate",0.3,1,0
71037,"hi.neu.sur_rate",0.3,1,0
71038,"hi.neu.sur_rate",0.666666666666667,1,0
71039,"hi.neu.sur_rate",0.1,1,0
71040,"hi.neu.sur_rate",0.2,1,0
71041,"hi.neu.sur_rate",0.5,1,0
71042,"hi.neu.sur_rate",0.7,1,0
71043,"hi.neu.sur_rate",0.777777777777778,1,0
71044,"hi.neu.sur_rate",0.8,1,0
71046,"hi.neu.sur_rate",0.8,1,0
71047,"hi.neu.sur_rate",0.9,1,0
71049,"hi.neu.sur_rate",1,1,0
71050,"hi.neu.sur_rate",0.444444444444444,1,0
71052,"hi.neu.sur_rate",0.888888888888889,1,0
71053,"hi.neu.sur_rate",0.818181818181818,1,0
71054,"hi.neu.sur_rate",0.444444444444444,1,0
71055,"hi.neu.sur_rate",0.888888888888889,1,0
71056,"hi.neu.sur_rate",0.666666666666667,1,0
71058,"hi.neu.sur_rate",0.2,1,0
71059,"hi.neu.sur_rate",0.818181818181818,1,0
71060,"hi.neu.sur_rate",0.857142857142857,1,0
71062,"hi.neu.sur_rate",0.181818181818182,1,0
