"","subjID","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time","ang_rate","hap_rate","sur_rate","neg_rate","pos_rate","amb_rate","ang_rate_b1","hap_rate_b1","sur_rate_b1","neg_rate_b1","pos_rate_b1","amb_rate_b1","ang_rate_b2","hap_rate_b2","sur_rate_b2","neg_rate_b2","pos_rate_b2","amb_rate_b2","ang_rate_b3","hap_rate_b3","sur_rate_b3","neg_rate_b3","pos_rate_b3","amb_rate_b3","ang_rate_b4","hap_rate_b4","sur_rate_b4","neg_rate_b4","pos_rate_b4","amb_rate_b4","ang_RT","hap_RT","sur_p_RT","sur_n_RT","neg_RT","pos_RT","amb_p_RT","amb_n_RT"
"42",71043,0.0806375135406962,-1.0078265147926,1.00234276875242,-0.00344239564428506,0.101582815733582,1326.03125,0.168641077900853,1216.16666666667,-0.0700164493723881,1272.52083333333,0.0300298511549177,0.0653122042425336,1.91666666666667,0.84375,0.760416666666667,0.333333333333333,2134.875,394.479166666667,1027.85416666667,1202.21300322682,47.5192763608122,1343.58333333333,0,0,6.70118659459754,1242.48958333333,-40.8668264107519,1319.72916666667,1,0.0833333333333333,0.916666666666667,0.916666666666667,0,0.5,NA,NA,NA,0.833333333333333,0,0.583333333333333,1,0,1,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0.166666666666667,0.833333333333333,NA,NA,NA,1729.25,1819.81818181818,1868.5,2128.68181818182,2045.72727272727,1852.83333333333,2499,3047.5
"43",71044,0.125335907204504,-1.04740305923092,1.01308645791091,-0.00112324202141012,0.178715426575048,1103.85416666667,0.255311880856529,1027.01041666667,-0.0898652110497997,929.90625,0.0534031258696815,0.109559450753041,2.32291666666667,1.6875,0.635416666666667,0.0833333333333333,1864.28125,385.395833333333,817.416666666667,1362.17961496977,69.3891190918032,1060.85416666667,0,0,18.5379023836004,995.09375,-63.3720861311369,1045.6875,1,0,0.791666666666667,0.916666666666667,0,0.458333333333333,NA,NA,NA,0.833333333333333,0,0.583333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0.75,NA,NA,NA,1428.16666666667,1724,2013.6,1802.63157894737,1997.09090909091,1733.91666666667,2160.46153846154,2396.72727272727
"44",71045,0.115331709366079,-1.02679273423959,1.01348446487971,-0.000551811247547743,0.290220137518434,1022.47916666667,0.33124924070456,995.791666666667,-0.0567700650914152,1088.64583333333,0.0757496506905924,0.171809155464814,2.15625,1.45833333333333,0.71875,0.0833333333333333,1807.22916666667,326.145833333333,740.864583333333,1411.47074909432,72.044817238838,950.21875,0,0,18.8598524895197,913.28125,-65.2982716946398,934.072916666667,1,0,0.458333333333333,0.916666666666667,0,0.458333333333333,1,0,0.416666666666667,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,0.5,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.5,1515.08333333333,1687.83333333333,1980.53846153846,2143,1788.81818181818,1533.33333333333,1822.69230769231,2180.45454545455
"45",71046,0.222574773167505,-1.03257385283489,1.02391633029108,-0.00189073090632132,0.363827941007023,1224.76041666667,0.418234611519201,1199.84375,-0.0710168191880477,1069.64583333333,0.0933080806542985,0.22694812230529,2.47916666666667,2.23958333333333,1.02083333333333,0.447916666666667,2119.92708333333,383.052083333333,1054.79166666667,1507.66619603838,78.6891028470464,1311.05208333333,0,0,25.8760254565533,1257.23958333333,-72.1025694079756,1283.44791666667,1,0,0.625,0.916666666666667,0,0.458333333333333,1,0,0.583333333333333,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.333333333333333,1538.16666666667,1624.25,2256.88888888889,2069.06666666667,1822.18181818182,1716.75,3000.30769230769,2942.27272727273
"46",71047,0.148595008093675,-1.00656896616636,1.00684409017165,-0.000806406928713205,0.270684280291576,792.135416666667,0.299577298539405,756.552083333333,-0.0391742747499816,715.53125,0.0785243075574034,0.187172312807992,1.71875,0.927083333333333,0.875,0.125,1534.1875,188.604166666667,514.510416666667,1242.33533462158,60.254683772027,782.541666666667,0,0,14.9835886654676,774.958333333333,-55.4201317522026,774.666666666667,1,0,0.75,0.916666666666667,0,0.333333333333333,NA,NA,NA,0.833333333333333,0,0.416666666666667,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.25,1,0,0.75,NA,NA,NA,1288,1307.41666666667,1657.16666666667,1417.94444444444,1501.54545454545,1548.58333333333,1930.6875,1866
"47",71048,0.0881953997571266,-1.029172055629,1.00809766296309,-0.000139028735957511,0.138858370920792,837.739583333333,0.205740710734495,779.739583333333,-0.0764409200191057,810.53125,0.0360492177960079,0.0856087037177694,1.69791666666667,0.822916666666667,0.59375,0.0520833333333333,1327.70833333333,379.28125,593.0625,1267.51311258729,6.63309267842284,781.927083333333,0,0,0.195137460798712,775.520833333333,-0.202226549546914,806.125,1,0,0.666666666666667,0.916666666666667,0,0.333333333333333,NA,NA,NA,0.833333333333333,0,0.5,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.166666666666667,1,0,0.583333333333333,NA,NA,NA,1353.33333333333,1197.41666666667,1361,1349.5,1301.90909090909,1292.41666666667,1308.5,1667.625
"48",71049,0.132405493220869,-1.01703930114335,1.01379302952956,-0.00122170110931163,0.239415593113373,922.9375,0.278928953544294,875,-0.0503467720336034,779.364583333333,0.0476896815679647,0.172508545792563,1.41666666666667,1.04166666666667,0.666666666666667,0.1875,1612.92708333333,417.614583333333,780.260416666667,1263.24667248936,5.12897888202882,876.479166666667,0,0,0.156267188474221,887.447916666667,-0.158183831112917,890.416666666667,1,0,0.916666666666667,0.916666666666667,0,0.375,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,1,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.333333333333333,1582.08333333333,1551,2012.5,1524.5,1578.54545454545,1432.75,1734.53333333333,2127
"49",71050,0.124839991718896,-1.02798574275423,1.01596622247944,-0.00143863118375741,0.178794633005897,1079.69791666667,0.239053448080692,1044.0625,-0.0655764089905714,995.71875,0.0394130911307785,0.136842072230024,1.5625,1.15625,0.385416666666667,0.145833333333333,1846.36458333333,453.375,931,1379.99089778445,87.2233523779749,1066.96875,0,0,22.2927762161521,1052.48958333333,-78.5038755182803,1035.5,1,0,0.833333333333333,0.916666666666667,0,0.625,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.5,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.75,1643.83333333333,1568.91666666667,2385.25,2073.45,1624.18181818182,1752.25,2109.44444444444,1988
"50",71051,0.325989181663302,-1.03453893078488,1.04382480223588,-0.00648294320309111,0.607092010008099,696.802083333333,0.636727388980864,688.270833333333,-0.060932041814505,508.822916666667,0.156067577315151,0.370676973712909,3.41666666666667,2.89583333333333,1.55208333333333,0.416666666666667,1322.36458333333,150.8125,413.3125,1856.4303865745,9.88075683399321,704.416666666667,0,0,0.427464746827738,679.614583333333,-0.411446498590518,702.177083333333,1,0.0833333333333333,0.875,1,0,0.458333333333333,NA,NA,NA,1,0,0.5,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0.166666666666667,0.916666666666667,NA,NA,NA,1154,1408.63636363636,1325.33333333333,1123.80952380952,1320.25,1290.75,1843,1493.45454545455
"51",71052,0.136171161738754,-1.0127972541846,1.00680279398128,-0.00128601924944209,0.218549432311604,968.760416666667,0.251371415854741,883.40625,-0.0396051943925531,731.604166666667,0.0532052763457986,0.133854318647545,1.33333333333333,0.979166666666667,0.6875,0.166666666666667,1494.66666666667,353.604166666667,697.854166666667,1225.8911145049,7.22129771528827,897.927083333333,0,0,0.288639614848851,873.125,-0.281113938081026,933.114583333333,1,0,0.833333333333333,0.916666666666667,0,0.458333333333333,NA,NA,NA,0.833333333333333,0,0.583333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0.833333333333333,NA,NA,NA,1182.83333333333,1296.5,1927,1436.9,1556.81818181818,1391.33333333333,1893.30769230769,1758.81818181818
